series_id                     	year	period	       value	
LAUCN280090000000004          	2010	M06	         415	
LAUCN280090000000004          	2011	M06	         463	
LAUCN280090000000004          	2012	M06	         376	
LAUCN280090000000004          	2013	M06	         377	
LAUCN280090000000004          	2014	M06	         313	
LAUCN280090000000004          	2015	M06	         281	
LAUCN280090000000005          	2010	M06	        2883	
LAUCN280090000000005          	2011	M06	        2974	
LAUCN280090000000005          	2012	M06	        2958	
LAUCN280090000000005          	2013	M06	        2827	
LAUCN280090000000005          	2014	M06	        2715	
LAUCN280090000000005          	2015	M06	        2747	
LAUCN280090000000006          	2010	M06	        3298	
LAUCN280090000000006          	2011	M06	        3437	
LAUCN280090000000006          	2012	M06	        3334	
LAUCN280090000000006          	2013	M06	        3204	
LAUCN280090000000006          	2014	M06	        3028	
LAUCN280090000000006          	2015	M06	        3028	
LAUCN280110000000003          	2010	M06	        12.2	
LAUCN280110000000003          	2011	M06	        12.3	
LAUCN280110000000003          	2012	M06	        11.6	
LAUCN280110000000003          	2013	M06	        12.0	
LAUCN280110000000003          	2014	M06	        10.6	
LAUCN280110000000003          	2015	M06	         9.2	
LAUCN280110000000004          	2010	M06	        1784	
LAUCN280110000000004          	2011	M06	        1846	
LAUCN280110000000004          	2012	M06	        1674	
LAUCN280110000000004          	2013	M06	        1668	
LAUCN280110000000004          	2014	M06	        1417	
LAUCN280110000000004          	2015	M06	        1233	
LAUCN280110000000005          	2010	M06	       12802	
LAUCN280110000000005          	2011	M06	       13188	
LAUCN280110000000005          	2012	M06	       12788	
LAUCN280110000000005          	2013	M06	       12177	
LAUCN280110000000005          	2014	M06	       11986	
LAUCN280110000000005          	2015	M06	       12197	
LAUCN280110000000006          	2010	M06	       14586	
LAUCN280110000000006          	2011	M06	       15034	
LAUCN280110000000006          	2012	M06	       14462	
LAUCN280110000000006          	2013	M06	       13845	
LAUCN280110000000006          	2014	M06	       13403	
LAUCN280110000000006          	2015	M06	       13430	
LAUCN280130000000003          	2010	M06	         9.6	
LAUCN280130000000003          	2011	M06	        10.0	
LAUCN280130000000003          	2012	M06	         9.1	
LAUCN280130000000003          	2013	M06	         9.5	
LAUCN280130000000003          	2014	M06	         8.0	
LAUCN280130000000003          	2015	M06	         6.8	
LAUCN280130000000004          	2010	M06	         660	
LAUCN280130000000004          	2011	M06	         704	
LAUCN280130000000004          	2012	M06	         625	
LAUCN280130000000004          	2013	M06	         611	
LAUCN280130000000004          	2014	M06	         507	
LAUCN280130000000004          	2015	M06	         424	
LAUCN280130000000005          	2010	M06	        6211	
LAUCN280130000000005          	2011	M06	        6359	
LAUCN280130000000005          	2012	M06	        6238	
LAUCN280130000000005          	2013	M06	        5831	
LAUCN280130000000005          	2014	M06	        5814	
LAUCN280130000000005          	2015	M06	        5836	
LAUCN280130000000006          	2010	M06	        6871	
LAUCN280130000000006          	2011	M06	        7063	
LAUCN280130000000006          	2012	M06	        6863	
LAUCN280130000000006          	2013	M06	        6442	
LAUCN280130000000006          	2014	M06	        6321	
LAUCN280130000000006          	2015	M06	        6260	
LAUCN280150000000003          	2010	M06	        13.2	
LAUCN280150000000003          	2011	M06	        13.2	
LAUCN280150000000003          	2012	M06	        11.5	
LAUCN280150000000003          	2013	M06	        11.5	
LAUCN280150000000003          	2014	M06	        10.4	
LAUCN280150000000003          	2015	M06	         8.5	
LAUCN280150000000004          	2010	M06	         499	
LAUCN280150000000004          	2011	M06	         500	
LAUCN280150000000004          	2012	M06	         427	
LAUCN280150000000004          	2013	M06	         399	
LAUCN280150000000004          	2014	M06	         356	
LAUCN280150000000004          	2015	M06	         300	
LAUCN280150000000005          	2010	M06	        3273	
LAUCN280150000000005          	2011	M06	        3287	
LAUCN280150000000005          	2012	M06	        3275	
LAUCN280150000000005          	2013	M06	        3084	
LAUCN280150000000005          	2014	M06	        3067	
LAUCN280150000000005          	2015	M06	        3229	
LAUCN280150000000006          	2010	M06	        3772	
LAUCN280150000000006          	2011	M06	        3787	
LAUCN280150000000006          	2012	M06	        3702	
LAUCN280150000000006          	2013	M06	        3483	
LAUCN280150000000006          	2014	M06	        3423	
LAUCN280150000000006          	2015	M06	        3529	
